Set code,Name,Set symbol
10E,Tenth Edition,A Roman-numeral ten
2ED,Unlimited Edition,None
3ED,Revised Edition,None
4ED,Fourth Edition,None
5DN,Fifth Dawn,The helm of Kaldra
5ED,Fifth Edition,None / Roman-numeral five
6ED,Classic Sixth Edition,A Roman-numeral six
7ED,Seventh Edition,A serif numeral seven
8ED,Eighth Edition,The number eight superimposed over three fanned cards
9ED,Ninth Edition,The number nine superimposed over three fanned cards
ALA,Shards of Alara,5-part gem
ALL,Alliances,A flowing banner
APC,Apocalypse,The mask of Yawgmoth
ARB,Alara Reborn,5-branched gem
ARC,Archenemy,A trident
ARN,Arabian Nights,A scimitar
ATH,Anthologies,No specific symbol
ATQ,Antiquities,An anvil
AVR,Avacyn Restored,The collar of Avacyn
BFZ,Battle for Zendikar,"A hedron with a ""Z"" crimp"
BNG,Born of the Gods,Horns of Xenagos
BOK,Betrayers of Kamigawa,A shuriken
BRB,Battle Royale Box Set,No specific symbol
BTD,Beatdown Box Set,A mace
C13,Commander 2013 Edition,3-part gem with hooks
C14,Commander 2014,Shield-shaped 3-part gem
C15,Commander 2015,2-part shield
CED,International Collector's Edition,no symbol
CHK,Champions of Kamigawa,A torii gate
CHR,Chronicle,No specific symbol
CM1,Commander's Arsenal,3-part gem
CMD,Commander,"Three prongs symbolizing the ""wedge"" coloration"
CNS,Conspiracy,Seal
CON,Conflux,5-shard shield
CSP,Coldsnap,A hanging trio of icicles
DD2,Duel Decks: Jace vs. Chandra,A point-reflected pair of swooshes
DD3,Duel Decks Anthology,No specific symbol
DDC,Duel Decks: Divine vs. Demonic,A halo with horns coming up through its center
DDD,Duel Decks: Garruk vs. Liliana,A leaf inside a semicircle
DDE,Duel Decks: Phyrexia vs. the Coalition,Yawgmoth's and the Coalition's symbols combined
DDF,Duel Decks: Elspeth vs. Tezzeret,Two trapezoids with parts missing
DDG,Duel Decks: Knights vs. Dragons,A shield in the shape of a dragon in flight
DDH,Duel Decks: Ajani vs. Nicol Bolas,Nicol Bolas' horns superimposed on Ajani's axe-head
DDI,Duel Decks: Venser vs. Koth,Two nearly-interlocking zigzags
DDJ,Duel Decks: Izzet vs. Golgari,Combination of Izzet and Golgari symbols
DDK,Duel Decks: Sorin vs. Tibalt,Combination of stylized sword and devil horns
DDL,Duel Decks: Heroes vs. Monsters,"Combination axe, helmet, and wings"
DDM,Duel Decks: Jace vs. Vraska,Arcane symbol and gorgon tentacle
DDN,Duel Decks: Speed vs. Cunning,Winged eye
DDO,Duel Decks: Elspeth vs. Kiora,Godsend (Elspeth's spear) and waves
DDP,Duel Decks: Zendikar vs. Eldrazi,Half-hedron and Eldrazi tentacle
DGM,Dragon's Maze,Return to Ravnicaand Gatecrashsymbols combine [105
DIS,Dissension,The broken seal of the Guildpact
DKA,Dark Ascension,Innistrad symbol turned inwar [99
DKM,Deckmasters: Garfield vs. Finkel,"A stylized letter ""D"""
DPA,Duels of the Planeswalkers (decks),"A stylized letter ""M"" inside a circle"
DRB,From the Vault: Dragons,Wings of a Dragon
DRK,The Dark,A thin crescent moon
DST,Darksteel,The shield of Kaldra
DTK,Dragons of Tarkir,A shield in the shape of a dragon's face (nearly identical in outline to the KTK symbol)
EVE,Eventide,Eclipsed sun
EVG,Duel Decks: Elves vs. Goblins,A stylized axe and bow combination symbol
EXO,Exodus,A bridge
FEM,Fallen Empires,A crown
